,simulant_id,household_id_census,first_name_census,middle_initial_census,last_name_census,street_number_census,street_name_census,unit_number_census,city_census,state_census,zipcode_census,year,household_id_tax,first_name_tax,middle_initial_tax,last_name_tax,street_number_tax,street_name_tax,unit_number_tax,city_tax,state_tax,zipcode_tax,match,first_name_taxes,middle_initial_taxes,last_name_taxes,street_number_taxes,street_name_taxes,unit_number_taxes,city_taxes,state_taxes,zipcode_taxes
10,0_4,0_8,eric,r,alonso tellez,1501,interlake ave n,,anytown,WA,00000,2020.0,0_8,eric,r,alonso tellez,1501,interlake ave n,,anytown,WA,00000,1,,,,,,,,,
11,0_5,0_8,,r,alonso tellez,1501,interlake ave n,,anytown,WA,00000,2020.0,0_8,erin,r,alonso tellez,1501,interlake ave n,,anytown,WA,00000,1,,,,,,,,,
12,0_5,0_8,,r,alonso tellez,1501,interlake ave n,,anytown,WA,00000,2020.0,0_8,erin,r,alonso tellez,1501,interlake ave n,,anytown,WA,00000,1,,,,,,,,,
13,0_5621,0_2289,derick,w,castillo,3,stoke ct,,anytown,WA,00000,2020.0,0_2289,derick,w,castillo,,,,anytown,WA,00000,1,,,,,,,,,
14,0_5623,0_2289,heather,j,castillo,3,stoke ct,,anytown,WA,00000,2020.0,0_2289,heather,j,castillo,,,,anytown,WA,00000,1,,,,,,,,,
15,0_7251,0_2957,patrick,e,rodriguez,927,broomfield ln,,anytown,WA,00000,2020.0,0_2957,patrick,e,rodriguez,927,broomfield ln,,anytown,WA,00000,1,,,,,,,,,
16,0_7252,0_2957,melisa,d,rodriguez,927,broomfield ln,,anytown,WA,00000,2020.0,0_2957,melisa,d,rodriguez,927,broomfield ln,,anytown,WA,00000,1,,,,,,,,,
17,0_5189,0_2124,david,r,schletzbaum,,stromberg ct,,anytown,WA,00000,2020.0,0_2124,david,r,schletzbaum,626,stromberg ct,,anytown,WA,00000,1,,,,,,,,,
18,0_8436,0_3426,anne,k,matheny,8300,jacob lois dr,,anytown,WA,00000,2020.0,0_3426,anne,k,matheny,8300,jacob lois dr,,anytown,WA,00000,1,,,,,,,,,
19,0_9013,0_3661,gayle,j,taylor,2,whippoorwill dr,,anytown,WA,00000,2020.0,0_3661,gayle,j,taylor,2,whippoorwill dr,,anytown,WA,00000,1,,,,,,,,,
20,0_9014,0_3661,ronald,h,taylor,2,whippoorwill dr,,anytown,AL,00000,2020.0,0_3661,gon,h,taylor,2,whippoorwill dr,,anytown,WA,00000,1,,,,,,,,,
21,0_12690,0_5116,mary,v,kauffman,10305,horseshoe trl,,anytown,WA,00000,2020.0,0_5116,mary,v,kauffman,10305,horseshoe trl,,anytown,WA,00000,1,,,,,,,,,
22,0_12690,0_5116,mary,v,kauffman,10305,horseshoe trl,,anytown,WA,00000,2020.0,0_5116,mary,v,kauffman,10305,horseshoe trl,,anytown,WA,00000,1,,,,,,,,,
23,0_15755,0_6357,david,h,johnstone,1648,eagle heights,,anytown,WA,00000,2020.0,0_6357,david,h,johnstone,1648,eagle heights,,anytown,WA,00000,1,,,,,,,,,
24,0_14,0_11,jerry,r,cade,112,capulina avenue,,anytown,WA,00000,2020.0,0_11,gerald,r,cade,502,n bingham st,,anytown,WA,00000,1,,,,,,,,,
25,0_14,0_11,jerry,r,cade,112,capulina avenue,,anytown,WA,00000,2020.0,0_11,gerald,r,cade,502,n bingham st,,anytown,WA,00000,1,,,,,,,,,
26,0_14,0_11,jerry,r,cade,112,capulina avenue,,anytown,WA,00000,2020.0,0_11,gerald,r,cade,502,n bingham st,,anytown,WA,00000,1,,,,,,,,,
27,0_2647,0_1070,holly,p,duran,6744,sprenkle ln,,anytown,WA,00000,2020.0,0_1070,holly,p,duran,6744,sprenkle ln,,anytown,WA,00000,1,,,,,,,,,
28,0_2648,0_1070,marlin,t,duran,6744,sprenkle ln,,anytown,WA,00000,2020.0,0_4,marlin,t,duran,69,s hwy 701,,anytown,WA,02100,1,,,,,,,,,
29,0_3282,0_1334,emily,a,dockins,,washington avenue,,anytown,WA,00000,2020.0,0_1334,emily,a,dockins,,washington avenue,,anytown,WA,00000,1,,,,,,,,,
30,0_3283,0_1334,edward,s,dockins,,washington avenue,,anytown,WA,00000,2020.0,0_1334,edward,s,dockins,,washington avenue,,anytown,WA,00000,1,,,,,,,,,
31,0_3283,0_1334,edward,s,dockins,,washington avenue,,anytown,WA,00000,2020.0,0_1334,edward,s,person,,washington avenue,,anytown,WA,00000,1,,,,,,,,,
32,0_4496,0_1832,sherry,n,chau,1819,abbeywood dr,,anytown,WA,00000,2020.0,0_1832,sherry,,chau,1819,abbeywood dr,,anytown,WA,00000,1,,,,,,,,,
33,0_4496,0_1832,sherry,n,chau,1819,abbeywood dr,,anytown,WA,00000,2020.0,0_1832,sherry,n,chau,1819,abbeywood dr,,anytown,WA,00000,1,,,,,,,,,
34,0_5336,0_2183,david,w,lopez,1613,cr ledge dr,,anytown,WA,00000,2020.0,0_2183,david,w,lopez,1613,cr ledge dr,,anytown,WA,00000,1,,,,,,,,,
35,0_14068,0_876,heather,j,pizzolato,400,stafford ave,,anytown,WA,00000,2020.0,0_876,heather,j,pizzolato,400,stafford ave,,anytown,WA,00000,1,,,,,,,,,
36,0_14068,0_876,heather,j,pizzolato,400,stafford ave,,anytown,WA,00000,2020.0,0_876,heather,j,pizzolato,400,stafford ave,,anytown,WA,00000,1,,,,,,,,,
37,0_16326,0_7953,jesse,b,xie,34427,princeton ct,,anytown,WA,00000,2020.0,0_7953,jesse,b,xie,34427,princeton ct,,anytown,WA,00000,1,,,,,,,,,
38,0_16326,0_7953,jesse,b,xie,34427,princeton ct,,anytown,WA,00000,2020.0,0_7953,jesse,b,xie,34427,princeton ct,,anytown,WA,00000,1,,,,,,,,,
39,0_21,0_14,gianna,r,doucet,b208,w warren ave,,anytown,WA,00000,2020.0,0_14,gianna,r,doucet,13208,w warren ave,,anytown,WA,00000,1,,,,,,,,,
40,0_22,0_14,glen,r,doucet,13208,w warren ave,,anytown,WA,00000,2020.0,0_14,glen,r,douct,13208,w warren ave,,anytown,WA,00000,1,,,,,,,,,
41,0_8354,0_3397,jason,f,garrell,38297,,,anytown,WA,00000,2020.0,0_3397,jason,f,garrell,38297,hunters oak drive,,anytown,WA,00000,1,,,,,,,,,
42,0_8355,0_3397,elsa,l,garrell,38297,hunters oak drive,,anytown,WA,00000,2020.0,0_3397,elsa,l,garrell,38297,hunters oak drive,,anytown,WA,00000,1,,,,,,,,,
43,0_9739,0_3965,jaclyn,s,gonzalez,5703,antonio court,,anytown,WA,00000,2020.0,0_3965,jaclyn,s,gonzalez,5703,antonio court,,anytown,WA,00000,1,,,,,,,,,
44,0_9743,0_3965,patricia,n,gonzalez,5703,antonio court,,anytown,WA,00000,2020.0,0_3965,patricia,n,gonzalez,5703,antonio court,,anytown,WA,00000,1,,,,,,,,,
45,0_25,0_16,,s,kingsley,57,shadowood dr,,anytown,WA,00000,2020.0,0_16,heather,s,kingsley,57,shadowood dr,,anytown,WA,00000,1,,,,,,,,,
46,0_26,0_16,charles,b,kingsley,57,shadowood dr,,anytown,WA,00000,2020.0,0_16,charles,b,kingsley,,shadowood dr,,anytown,WA,00000,1,,,,,,,,,
47,0_26,0_16,charles,b,kingsley,57,shadowood dr,,anytown,WA,00000,2020.0,0_16,charles,b,kingsley,57,shadowood dr,,anytiwn,WA,00000,1,,,,,,,,,
48,0_28,0_16,ellie,n,kingsley,,shadowood dr,,anytown,WA,00000,2020.0,0_16,ellie,n,kingsley,57,shadowood dr,,anytown,WA,00000,1,,,,,,,,,
49,0_28,0_16,ellie,n,kingsley,,shadowood dr,,anytown,WA,00000,2020.0,0_16,ellie,n,kingsley,57,shadowood dr,,anytown,WA,00000,1,,,,,,,,,
50,0_28,0_16,ellie,n,kingsley,,shadowood dr,,anytown,WA,00000,2020.0,0_16,ellie,n,kingsley,57,shadowood dr,,anytown,WA,00000,1,,,,,,,,,
51,0_45,0_21,clarence,c,ybarra canales,2207,church st,# 2 floor,anytown,WA,00000,2020.0,0_21,clarence,c,ybarra canales,2207,church st,# 2 floor,anytown,WA,00000,1,,,,,,,,,
52,0_866,0_352,timothy,a,bloomer,237,deer ridge dr,,anytown,WA,00000,2020.0,0_352,timothy,a,bloomer,,lausanne drive,,anytown,WA,00000,1,,,,,,,,,
53,0_5149,0_2109,gale,j,pickett,12375,44th st,,anytown,WA,00000,2020.0,0_2109,gale,j,pickett,12375,44th st,,anytown,WA,00000,1,,,,,,,,,
54,0_5149,0_2109,gale,j,pickett,12375,44th st,,anytown,WA,00000,2020.0,0_2109,gale,j,pickett,12375,44th st,,anytown,WA,00000,1,,,,,,,,,
55,0_10353,0_4210,taylor,s,legler,1051,parkway church rd sw,,anytown,WA,00000,2020.0,0_4210,taylor,s,legler,1051,parkway church rd sw,,anytown,WA,00000,1,,,,,,,,,
56,0_20233,0_8092,antonio,j,sturdivant,8360,jeff hamilton rd,,anytown,WA,00000,2020.0,0_8092,antonio,j,sturdivant,8360,jeff hamilton rd,,anytown,WA,00000,1,,,,,,,,,
57,0_31,0_5209,ella,n,driscoll,112,stonewall tell rd,,anytown,WA,00000,2020.0,0_4,ella,n,driscoll,69,s hwy 701,,anytown,WA,00000,1,,,,,,,,,
58,0_31,0_5209,ella,n,driscoll,112,stonewall tell rd,,anytown,WA,00000,2020.0,0_4,ella,n,driscoll,69,s hwy 701,,anytown,WA,00000,1,,,,,,,,,
59,0_31,0_5209,ella,n,driscoll,112,stonewall tell rd,,anytown,WA,00000,2020.0,0_4,ella,n,driscoll,69,s hwy 701,,anytown,WA,00000,1,,,,,,,,,
60,0_7686,0_3139,tommy,t,hookham,9143,lake street,,anytown,WA,00000,2020.0,0_3139,tommy,t,hookham,9143,lake street,,anytown,WA,00000,1,,,,,,,,,
61,0_12937,0_5209,robyn,d,woods,112,stonewall tell rd,,anytown,WA,00000,2020.0,0_5209,robyn,d,woods,,stonewall tell rd,,4nytown,WA,00000,1,,,,,,,,,
62,0_12937,0_5209,robyn,d,woods,112,stonewall tell rd,,anytown,WA,00000,2020.0,0_5209,robyn,d,de la casa,112,stonewall tell rd,,anytown,WA,00000,1,,,,,,,,,
63,0_12937,0_5209,robyn,d,woods,112,stonewall tell rd,,anytown,WA,00000,2020.0,0_5209,robyn,d,woods,112,stonewall tell rd,,anytown,WA,00000,1,,,,,,,,,
64,0_12938,0_5209,richard,p,woods,112,stonewall tell rd,,anytown,WA,00000,2020.0,0_5209,richard,p,,112,stonewall tell rd,,anytown,WA,00000,1,,,,,,,,,
65,0_12938,0_5209,richard,p,woods,112,stonewall tell rd,,anytown,WA,00000,2020.0,0_5209,richard,p,woods,112,stonewall tell rd,,anytown,WA,00000,1,,,,,,,,,
66,0_15884,0_6408,james,k,mccloud,5519,w windhorst rd,,anytown,WA,00000,2020.0,0_6408,james,k,mccloud,5519,w windhorst rd,,anytown,ND,00000,1,,,,,,,,,
67,0_36,0_19,eva,r,ortiz,38,park place,unit d13,anytown,WA,00000,2020.0,0_19,eva,r,ortiz,38,park place,unit d13,anytown,WA,00000,1,,,,,,,,,
68,0_36,0_19,eva,r,ortiz,38,park place,unit d13,anytown,WA,00000,2020.0,0_19,eva,r,ortiz,38,park place,unit d13,anytown,WA,00000,1,,,,,,,,,
69,0_38,0_19,eric,r,ortiz,638,park place,unit d13,anytown,WA,00000,2020.0,0_19,eric,r,ortiz,38,park place,unit d13,anytown,WA,00000,1,,,,,,,,,
70,0_38,0_19,eric,r,ortiz,638,park place,unit d13,anytown,WA,00000,2020.0,0_19,eric,r,ortiz,38,park place,unit d13,anytown,WA,00000,1,,,,,,,,,
71,0_38,0_19,eric,r,ortiz,638,park place,unit d13,anytown,WA,00000,2020.0,0_19,eric,r,ortiz,38,park place,unit d13,anytown,WA,00000,1,,,,,,,,,
72,0_1455,0_589,brenda,m,tytler,2610,grand fields ln,,anytown,WA,00000,2020.0,0_589,brenda,m,tytler,2610,grand fields ln,,anytown,WA,00000,1,,,,,,,,,
73,0_44,0_7956,dylan,r,harrington,706,col de vars nw,,anytown,WA,00000,2020.0,0_7956,dylan,r,harrington,706,col de vars nw,,anytown,WA,00000,1,,,,,,,,,
74,0_7785,0_3176,david,j,ling,69,old bridge lane,,anytown,WA,00000,2020.0,0_3176,david,j,ling,69,old bridge lane,,anytown,UT,00000,1,,,,,,,,,
75,0_7785,0_3176,david,j,ling,69,old bridge lane,,anytown,WA,00000,2020.0,0_3176,david,j,ling,69,old bridge lane,,anytown,WA,00000,1,,,,,,,,,
76,0_7786,0_3176,betty,l,ling,29,old bridge lane,,anytown,WA,00000,2020.0,0_3176,betty,l,ling,69,old bridge lane,,anytown,WA,00000,1,,,,,,,,,
77,0_14863,0_7987,timothy,j,eskridge,110,roll d,,anytown,WA,00000,2020.0,0_7987,timothy,j,eskridge,110,roll d,,anytown,WA,00000,1,,,,,,,,,
78,0_17383,0_7001,bryan,d,reyes,9,hickory dr,,anytown,WA,00000,2020.0,0_7001,bryan,d,reyes,9,hickory dr,,anytown,WA,00000,1,,,,,,,,,
79,0_17384,0_7001,bonnie,d,reyes,9,hickofy dr,,anytovvn,WA,00000,2020.0,0_7001,bonnie,d,reyes,9,hickory dr,,anytown,WA,10001,1,,,,,,,,,
80,0_17384,0_7001,bonnie,d,reyes,9,hickofy dr,,anytovvn,WA,00000,2020.0,0_7001,bonnie,d,reyes,9,hickory dr,,anytown,WA,00000,1,,,,,,,,,
81,0_17384,0_7001,bonnie,d,reyes,9,hickofy dr,,anytovvn,WA,00000,2020.0,0_7001,bonnie,d,reyes,9,hickory dr,,anytown,WA,00000,1,,,,,,,,,
82,0_17385,0_7001,regina,k,reyes,9,hickory dr,,anytown,WA,00000,2020.0,0_7001,regina,k,reyes,9,hickory dr,,anytown,WA,00000,1,,,,,,,,,
83,0_17385,0_7001,regina,k,reyes,9,hickory dr,,anytown,WA,00000,2020.0,0_7001,regina,k,reyes,9,hickory dr,,anytown,WA,00000,1,,,,,,,,,
84,0_18291,0_7956,cheryl,k,ortiz,706,col de vars nw,,anytown,WA,00000,2020.0,0_7956,cheryl,k,ortiz,706,col de vars nw,,anytown,WA,00000,1,,,,,,,,,
85,0_54,0_25,gina,r,mackie,868,quinton drive,,anytown,WA,00000,2020.0,0_25,gina,r,mackie,868,quinton drive,,anytown,WA,00000,1,,,,,,,,,
86,0_54,0_25,gina,r,mackie,868,quinton drive,,anytown,WA,00000,2020.0,0_25,gina,r,mackie,868,quinton drive,,anytown,WA,00000,1,,,,,,,,,
87,0_120,0_57,holly,s,crane,107,robinhood cr,,anytown,WA,00000,2020.0,0_57,holly,s,crane,107,robinhood cr,,anytown,WA,00000,1,,,,,,,,,
88,0_946,0_385,shannon,s,winiarski,4f,brassiewood dr,,anytown,WA,00000,2020.0,0_385,shannon,s,winiarski,4f,brassiewood dr,,anytown,WA,00000,1,,,,,,,,,
89,0_11253,0_4558,ronald,n,donohue,9808,111 avenue,,anytown,WA,00000,2020.0,0_4558,ronald,n,donohue,898098,111 avenue,,anytown,WA,00000,1,,,,,,,,,
90,0_11253,0_4558,ronald,n,donohue,9808,111 avenue,,anytown,WA,00000,2020.0,0_4558,ronald,n,donohue,9808,111 avenue,,anytown,WA,00000,1,,,,,,,,,
91,0_17072,0_6874,father,r,clifford,3633,frederick rd,,anytown,WA,00000,2020.0,0_6874,william,r,clifford,3633,frederick rd,,anytown,WA,00000,1,,,,,,,,,
92,0_17072,0_6874,father,r,clifford,3633,frederick rd,,anytown,WA,00000,2020.0,0_6874,william,r,clifford,3633,frederick rd,,anytown,WA,00000,1,,,,,,,,,
93,0_57,0_7811,edwin,r,mccullen,283,red cloud road,,anytown,WA,00000,2020.0,0_7811,edwin,r,mccullen,283,red cloud road,,anytown,WA,00000,1,,,,,,,,,
94,0_1515,0_7133,elizabeth,s,tesfaie,2024,stateside rd,,anytown,,00000,2020.0,0_7133,elizabeth,s,tesfaye,2024,stateside rd,,anytown,WA,00000,1,,,,,,,,,
95,0_1515,0_7133,elizabeth,s,tesfaie,2024,stateside rd,,anytown,,00000,2020.0,0_7133,elizabeth,s,tesfaye,2024,stateside rd,,anytown,WA,00000,1,,,,,,,,,
96,0_13883,0_5585,william,r,macleod,5130,e 31st st,,anytown,WA,00000,2020.0,0_5585,william,r,macleod,5130,e 31st st,,anytown,WA,00000,1,,,,,,,,,
97,0_13883,0_5585,william,r,macleod,5130,e 31st st,,anytown,WA,00000,2020.0,0_5585,william,r,macleod,5130,e 31st st,,anytown,WA,00000,1,,,,,,,,,
98,0_13885,0_5585,aaron,j,macleod,5130,e 31st st,,anytown,WA,00000,2020.0,0_5585,aaron,j,macleod,5130,e 31st st,,anytown,WA,00000,1,,,,,,,,,
99,0_17717,0_7133,george,j,rabjohn,2024,stateside rd,,anytown,WA,00000,2020.0,0_8453,george,j,rabjohn,49,lichen ln,,anytown,WA,00000,1,,,,,,,,,
100,0_17717,0_7133,george,j,rabjohn,2024,stateside rd,,anytown,WA,00000,2020.0,0_8453,george,j,rabjohn,49,lichen ln,,anytown,WA,00000,1,,,,,,,,,
101,0_17718,0_7133,emily,j,rabjohn,2024,stateside rd,,anytown,WA,00000,2020.0,0_7133,emily,j,rabjohn,2024,stateside rd,,anytown,WA,00000,1,,,,,,,,,
102,0_17718,0_7133,emily,j,rabjohn,2024,stateside rd,,anytown,WA,00000,2020.0,0_7133,emily,j,rabjohn,2024,stateside rd,,anytown,WA,00000,1,,,,,,,,,
103,0_17718,0_7133,emily,j,rabjohn,2024,stateside rd,,anytown,WA,00000,2020.0,0_7133,emily,j,rabjohn,2024,stateside rd,,anytown,WA,00000,1,,,,,,,,,
104,0_17718,0_7133,emily,j,rabjohn,2024,stateside rd,,anytown,WA,00000,2020.0,0_7133,emily,j,rabjohn,2024,stateside rd,,anytown,WA,00000,1,,,,,,,,,
105,0_61,0_28,carol,b,cony,5126,angus dr,,anytown,WA,00000,2020.0,0_28,carol,,coney,5126,angus dr,,anytown,WA,00000,1,,,,,,,,,
106,0_613,0_247,vanessa,j,penrod,4875,camp ridge ln,,anytown,WA,00000,2020.0,0_247,vanessa,j,penrod,4875,camp ridge ln,,anytown,WA,00000,1,,,,,,,,,
107,0_614,0_247,thomas,b,penrod,4875,camp ridge ln,,anytown,WA,00000,2020.0,0_247,thomas,b,penrod,4875,camp ridge ln,,anytown,WA,00000,1,,,,,,,,,
108,0_1110,0_448,maria,s,cook,8837,queensgate road,,anytown,WA,00000,2020.0,0_448,maria,s,cook,8837,queensgate road,,anytown,WA,00000,1,,,,,,,,,
109,0_1734,0_702,h,c,,1812,aven 271,,anytown,WA,00000,2020.0,0_702,mary,c,ingram,1812,aven 271,,anytown,WA,00000,1,,,,,,,,,
110,0_2892,0_1178,latonya,s,cook,10038,14th ave s,,anytown,WA,00000,2020.0,0_1178,latonya,s,cook,10038,14th ave s,,anytown,WA,00000,1,,,,,,,,,
111,0_3070,0_1252,louis,g,wakeman,121,chapin rd,,anytown,WA,00000,2020.0,0_1252,louis,g,wakeman,121,chapin rd,,anytown,WA,00000,1,,,,,,,,,
112,0_3072,0_1252,kristina,c,conley,121,chapin rd,,anytown,WA,00000,2020.0,0_1252,kristina,c,conley,121,chapin rd,,anytown,WA,00000,1,,,,,,,,,
113,0_13613,0_5483,debra,d,mccarty,2207,newcastle rd,,anytown,WA,00000,2020.0,0_5483,eau,d,mccarty,2207,newcastle rd,,anytown,WA,00000,1,,,,,,,,,
114,0_13614,0_5483,wesley,b,mccarty,2207,,,anytown,WA,00000,2020.0,0_5483,wesley,b,mccarty,2207,newcastle rd,,anytown,WA,00000,1,,,,,,,,,
115,0_15173,0_6113,jennifer,a,herzog,201,e pierce st,apartment b,anytown,WA,00000,2020.0,0_6113,jennifer,a,herzog,201,e pierce st,apartment b,anytown,WA,00000,1,,,,,,,,,
116,0_67,0_30,dorothv,r,elson,2048,carroll street,,anytown,WA,00000,2020.0,0_30,dorothy,r,elson,2048,carroll street,,anytown,WA,00000,1,,,,,,,,,
117,0_8929,0_3631,phillip,k,garciagarcia,3135,kansas avenue northwest,,anytown,WA,00000,2020.0,0_3631,phillip,k,garciagarcia,3135,kansas avenue northwest,,anytown,WA,00000,1,,,,,,,,,
118,0_8930,0_3631,troy,a,garciagarcia,3135,kansas avenue northwest,,anytown,WA,00000,2020.0,0_8437,troy,a,garsiagarsia,128,bortow ct,,anytown,WA,00000,1,,,,,,,,,
119,0_8930,0_3631,troy,a,garciagarcia,3135,kansas avenue northwest,,anytown,WA,00000,2020.0,0_8437,troy,a,garciagarcia,128,bortow ct,,anytown,WA,00000,1,,,,,,,,,
120,0_8931,0_3631,michael,a,garciagarcia,3135,kansas avenue northwest,,anytown,WA,00000,2020.0,0_3631,michael,a,garciagarcia,3135,kansas avenue northwest,,anytown,WA,00000,1,,,,,,,,,
121,0_10639,0_4325,david,j,hileman,125,me rd,,anytown,WA,00000,2020.0,0_4325,david,j,hileman,,,,anytown,WA,00000,1,,,,,,,,,
122,0_14298,0_5758,leroy,j,ryan,124,w high st,,anytown,WA,00000,2020.0,0_5758,leroy,j,ryan,124,w high st,,anytown,WA,00000,1,,,,,,,,,
123,0_14298,0_5758,leroy,j,ryan,124,w high st,,anytown,WA,00000,2020.0,0_5758,leroy,j,ryan,124,w high st,,anytown,WA,00000,1,,,,,,,,,
124,0_14299,0_5758,alexandria,s,ryan,124,w high st,,anytown,WA,00000,2020.0,0_5758,alexandria,s,ryan,124,w high st,,anytown,WA,00000,1,,,,,,,,,
125,0_68,0_31,anna,a,braithwaite,4743,tartan ln,,anytown,WA,00000,2020.0,0_31,anna,a,braithwaite,4743,tartan ln,,anytown,WA,00000,1,,,,,,,,,
126,0_8636,0_3503,jennifer,g,shumpert,1803,deerskin dr,,anytown,WA,00000,2020.0,0_3503,jennifer,g,shumpert,1803,deerskin dr,,anytown,WA,00000,1,,,,,,,,,
127,0_9231,0_3753,jeanne,l,foreman,37,,,anytown,WA,00000,2020.0,0_3753,jeanne,l,foreman,37,e calhoun st,,anytown,WA,00000,1,,,,,,,,,
128,0_17015,0_6853,debra,j,jones,5130,university ave,,anytown,WA,00000,2020.0,0_6853,debra,j,jones,5130,university ave,,anytown,WA,00000,1,,,,,,,,,
129,0_17202,0_6932,mary,m,archie,9706,n avondale dr,,,WA,00000,2020.0,0_6932,mary,m,archie,9706,n avondale dr,,anytown,WA,00000,1,,,,,,,,,
130,0_20310,0_8196,maria,e,porter,842,larue rd,,anytown,WA,00000,2020.0,0_8196,maria,e,porter,842,larue rd,,anytown,WA,00000,1,,,,,,,,,
131,0_69,0_32,dustin,r,roldan,306,se 89th ave,,anytown,WA,00000,2020.0,0_32,dustin,r,roldan,306,se 89th ave,,anytown,WA,00000,1,,,,,,,,,
132,0_70,0_32,eric,r,roldan,306,se 89th ave,,anytown,WA,00000,2020.0,0_32,eric,r,roldan,306,se 89th ave,,anytown,WA,00000,1,,,,,,,,,
133,0_71,0_32,gloria,r,roldan,306,se 89th ave,,anytown,WA,00000,2020.0,0_32,gloria,r,roldan,306,se 89th ave,,anytown,WA,00000,1,,,,,,,,,
134,0_71,0_32,gloria,r,roldan,306,se 89th ave,,anytown,WA,00000,2020.0,0_32,glory,r,roldan,306,se 89th ave,,anytown,WA,00000,1,,,,,,,,,
135,0_4620,0_1884,,c,butler,12331,lucas road,,anytown,WA,00000,2020.0,0_1884,zachary,c,butler,12331,lucas road,,anytown,WA,00000,1,,,,,,,,,
136,0_4620,0_1884,,c,butler,12331,lucas road,,anytown,WA,00000,2020.0,0_1884,zachary,c,butler,12331,lucas road,,anytown,WA,00000,1,,,,,,,,,
137,0_13841,0_5570,carla,c,george,9618,western ave,,anytown,WA,00000,2020.0,0_8387,carla,c,george,6520,sw trigger dr,,anytown,WA,00000,1,,,,,,,,,
138,0_13841,0_5570,carla,c,george,9618,western ave,,anytown,WA,00000,2020.0,0_8387,,c,george,6520,sw trigger dr,,anytown,WA,00000,1,,,,,,,,,
139,0_13842,0_5570,james,r,george,9618,western ave,,anytown,WA,00000,2020.0,0_5570,james,r,george,5970,thorndale beach,,anytown,WA,00000,1,,,,,,,,,
140,0_13842,0_5570,james,r,george,9618,western ave,,anytown,WA,00000,2020.0,0_5570,james,r,george,5970,thorndale beach,,anytown,AL,00000,1,,,,,,,,,
141,0_13842,0_5570,james,r,george,9618,western ave,,anytown,WA,00000,2020.0,0_5570,james,r,george,5970,thorndale beach,,anytown,WA,00000,1,,,,,,,,,
142,0_13843,0_5570,emily,j,george,9618,western ave,,anytown,WA,00000,2020.0,0_5570,emily,j,george,5970,thorndale beach,,anytown,WA,00000,1,,,,,,,,,
143,0_73,0_34,heather,s,kennedy,9,flat rock dr,,anytown,WA,00000,2020.0,0_34,heather,s,kennedy,9,flat rock dr,,anytown,WA,00000,1,,,,,,,,,
144,0_1043,0_8334,bradley,m,fernandez-velasquez,4150,w miss muffet ln,aprt no 41 b,anytown,WA,00000,2020.0,0_8334,bradley,m,fernandez-velasquez,4150,w miss rnuffet ln,aprt no 41 b,anytown,WA,00000,1,,,,,,,,,
145,0_1043,0_8334,bradley,m,fernandez-velasquez,4150,w miss muffet ln,aprt no 41 b,anytown,WA,00000,2020.0,0_8334,bradley,m,fernandez-velasquez,4150,w miss muffet ln,aprt no 41 b,anytown,WA,00000,1,,,,,,,,,
146,0_4991,0_2043,ryan,t,crawford,1410,w chas mdws dr,,anytown,WA,00000,2020.0,0_2043,ryan,t,crawford,,,,anytown,WA,00000,1,,,,,,,,,
